client_id,company_name,industry,company_size,first_engagement_date,last_engagement_date,total_positions_filled,revenue_generated,verified,is_repeat_client,engagement_count,active_positions,days_since_last_contact,client_status,client_value_score,is_dormant_warm
3916,SafeGold,Various,Unknown,2021-11-04 04:03:08,2024-06-21 13:08:06,5,50000.0,1,False,1,5,601.0,dormant_warm,15.0,True
4329,Park+,Various,Unknown,2024-03-21 10:26:48,2024-06-26 14:50:27,5,50000.0,1,False,1,3,596.0,dormant_warm,15.0,True
4327,Asato.ai,Various,Unknown,2024-03-19 12:50:45,2024-03-19 16:14:50,5,50000.0,1,False,1,4,695.0,dormant_warm,15.0,True
4377,FirstClub,Various,Unknown,2025-05-01 14:42:24,2025-05-01 14:42:24,1,10000.0,1,False,1,1,287.0,dormant_warm,13.0,True
4378,Uniqode,Various,Unknown,2025-05-06 18:16:51,2025-05-06 18:16:51,1,10000.0,1,False,1,1,281.0,dormant_warm,13.0,True
4370,Kastech Software Solutions Group,Various,Unknown,2025-02-13 08:55:26,2025-02-13 08:55:26,1,10000.0,1,False,1,1,364.0,dormant_warm,13.0,True
4371,Konnect Insights,Various,Unknown,2025-02-13 12:10:51,2025-02-13 12:10:51,1,10000.0,1,False,1,1,364.0,dormant_warm,13.0,True
4365,Dealermatix,Various,Unknown,2024-12-05 12:39:37,2024-12-20 02:55:17,4,40000.0,1,False,1,4,419.0,dormant_warm,12.0,True
4320,Datansh Solutions,Various,Unknown,2024-02-14 05:46:13,2024-02-14 07:04:31,4,40000.0,1,False,1,1,729.0,dormant_warm,12.0,True
3169,SuperGaming,Various,Unknown,2019-09-12 16:25:23,2024-09-10 10:06:18,4,40000.0,1,True,2,3,520.0,dormant_warm,12.0,True
4267,Blinctrip,Various,Unknown,2023-09-02 12:25:33,2024-03-13 04:57:27,4,40000.0,1,False,1,3,701.0,dormant_warm,12.0,True
4340,Apna Mart,Various,Unknown,2024-05-20 18:39:47,2024-05-21 16:35:06,4,40000.0,1,False,1,2,631.0,dormant_warm,12.0,True
4182,Maloo Group,Various,Unknown,2022-12-17 07:15:11,2024-10-10 14:43:22,4,40000.0,1,True,2,4,490.0,dormant_warm,12.0,True
4343,Novatr,Various,Unknown,2024-05-29 13:24:17,2024-07-23 19:49:49,3,30000.0,1,False,1,3,568.0,dormant_warm,9.0,True
4315,	Tookitaki,Various,Unknown,2024-01-17 11:02:31,2024-10-04 07:46:45,3,30000.0,1,False,1,2,496.0,dormant_warm,9.0,True
4283,Adrianse,Various,Unknown,2023-10-19 05:25:17,2024-07-29 09:01:31,3,30000.0,1,False,1,3,563.0,dormant_warm,9.0,True
4172,Atlan,Various,Unknown,2022-11-17 08:59:07,2024-10-01 11:20:51,3,30000.0,1,False,1,3,499.0,dormant_warm,9.0,True
4325,Exponent energy,Various,Unknown,2024-03-18 16:49:27,2024-03-18 17:54:17,3,30000.0,1,False,1,3,695.0,dormant_warm,9.0,True
4349,Delta.exchange,Various,Unknown,2024-07-02 09:23:36,2024-07-11 18:34:17,3,30000.0,1,False,1,3,580.0,dormant_warm,9.0,True
